Dates,Values
2006-01-31,0.024528499629834135
2006-02-28,0.013459927510305471
2006-03-31,0.024528499629834135
2006-04-30,0.06682889475297758
2006-05-31,0.10677976691279303
2006-06-30,0.10955855857790837
2006-07-31,0.10955855857790837
2006-08-31,0.1286939956660719
2006-09-30,0.13307428341635455
2006-10-31,0.13307428341635455
2006-11-30,0.1354310767431086
2006-12-31,0.13912734995232623
2007-01-31,0.1614575069545785
2007-02-28,0.21363213087925345
2007-03-31,0.21363213087925345
2007-04-30,0.21363213087925345
2007-05-31,0.22067112749538062
2007-06-30,0.22067112749538062
2007-07-31,0.249395531043884
2007-08-31,0.249395531043884
2007-09-30,0.249395531043884
2007-10-31,0.2895575652688443
2007-11-30,0.30715857476483355
2007-12-31,0.34799919924991424
2008-01-31,0.34799919924991424
2008-02-29,0.34799919924991424
2008-03-31,0.34799919924991424
2008-04-30,0.37860213413238314
2008-05-31,0.38297722148708724
2008-06-30,0.38297722148708724
2008-07-31,0.3952487063565796
2008-08-31,0.41567439531275413
2008-09-30,0.36910734244419074
2008-10-31,0.2655241851078007
2008-11-30,0.23620502788312014
2008-12-31,0.21350680169712918
2009-01-31,0.16085480898345356
2009-02-28,0.15747220843609339
2009-03-31,0.15747220843609336
2009-04-30,0.15747220843609336
2009-05-31,0.15747220843609336
2009-06-30,0.15747220843609336
2009-07-31,0.15747220843609336
2009-08-31,0.15747220843609339
2009-09-30,0.15747220843609339
2009-10-31,0.15747220843609339
2009-11-30,0.15747220843609336
2009-12-31,0.15747220843609336
2010-01-31,0.15747220843609336
2010-02-28,0.15747220843609336
2010-03-31,0.15747220843609336
2010-04-30,0.15747220843609336
2010-05-31,0.15747220843609339
2010-06-30,0.15747220843609339
2010-07-31,0.15747220843609336
2010-08-31,0.15747220843609339
2010-09-30,0.15747220843609336
2010-10-31,0.15747220843609336
2010-11-30,0.15747220843609336
2010-12-31,0.15747220843609336
2011-01-31,0.15747220843609336
2011-02-28,0.15747220843609336
2011-03-31,0.15747220843609336
2011-04-30,0.15747220843609336
2011-05-31,0.1574722084360934
2011-06-30,0.15747220843609339
2011-07-31,0.15747220843609339
2011-08-31,0.23620502788312014
2011-09-30,0.3212504699658806
2011-10-31,0.36084268242443424
2011-11-30,0.36084268242443424
2011-12-31,0.43556884701302245
2012-01-31,0.4487089797961937
2012-02-29,0.48166905174007424
2012-03-31,0.48166905174007424
2012-04-30,0.48166905174007424
2012-05-31,0.48166905174007424
2012-06-30,0.48166905174007424
2012-07-31,0.48166905174007424
2012-08-31,0.48166905174007424
2012-09-30,0.48166905174007424
2012-10-31,0.48166905174007424
2012-11-30,0.4935888928549468
2012-12-31,0.5156533869673449
2013-01-31,0.5403773070757178
2013-02-28,0.5913889523722141
2013-03-31,0.6093151392598948
2013-04-30,0.6188645467924035
2013-05-31,0.6188645467924035
2013-06-30,0.6188645467924035
2013-07-31,0.6188645467924035
2013-08-31,0.6188645467924035
2013-09-30,0.6188645467924035
2013-10-31,0.6188645467924035
2013-11-30,0.6188645467924035
2013-12-31,0.6188645467924035
2014-01-31,0.6188645467924035
2014-02-28,0.6188645467924035
2014-03-31,0.6188645467924035
2014-04-30,0.6188645467924035
2014-05-31,0.6188645467924035
2014-06-30,0.6188645467924035
2014-07-31,0.6188645467924035
2014-08-31,0.6188645467924035
2014-09-30,0.6188645467924035
2014-10-31,0.6188645467924035
2014-11-30,0.6630781989461707
2014-12-31,0.6725647362040552
2015-01-31,0.6725647362040552
2015-02-28,0.6725647362040552
2015-03-31,0.6725647362040552
2015-04-30,0.6725647362040552
2015-05-31,0.6725647362040552
2015-06-30,0.6725647362040552
2015-07-31,0.6725647362040551
2015-08-31,0.6320628631018731
2015-09-30,0.6320628631018731
2015-10-31,0.6320628631018731
2015-11-30,0.6024169866731163
2015-12-31,0.5419690245046933
2016-01-31,0.5389536956098798
2016-02-29,0.5389536956098798
2016-03-31,0.5389536956098799
2016-04-30,0.5389536956098799
2016-05-31,0.5389536956098799
2016-06-30,0.5389536956098799
2016-07-31,0.5389536956098799
2016-08-31,0.5389536956098799
2016-09-30,0.5389536956098799
2016-10-31,0.5389536956098799
2016-11-30,0.5389536956098799
2016-12-31,0.6024169866731163
2017-01-31,0.5389536956098798
2017-02-28,0.5389536956098798
2017-03-31,0.5389536956098799
2017-04-30,0.5389536956098798
2017-05-31,0.5389536956098799
2017-06-30,0.5389536956098799
2017-07-31,0.5389536956098799
2017-08-31,0.5389536956098799
2017-09-30,0.5389536956098798
2017-10-31,0.5389536956098799
2017-11-30,0.5389536956098799
2017-12-31,0.5389536956098799
2018-01-31,0.5389536956098799
2018-02-28,0.5389536956098799
2018-03-31,0.5389536956098799
2018-04-30,0.5389536956098799
2018-05-31,0.5389536956098799
2018-06-30,0.5389536956098798
2018-07-31,0.605949174800898
2018-08-31,0.6334542551073487
2018-09-30,0.6552527995082177
2018-10-31,0.6626550446756578
2018-11-30,0.6626550446756578
2018-12-31,0.6680922227125223
2019-01-31,0.6680922227125223
2019-02-28,0.7119726264451967
2019-03-31,0.6680922227125223
2019-04-30,0.7119726264451967
2019-05-31,0.7263901058744242
2019-06-30,0.7263901058744242
2019-07-31,0.7379005371055468
2019-08-31,0.7379005371055468
2019-09-30,0.7379005371055468
2019-10-31,0.7379005371055468
2019-11-30,0.7516410903784028
2019-12-31,0.6680922227125223
2020-01-31,0.7692274676112358
2020-02-29,0.7039185136917783
2020-03-31,0.6755928458194098
2020-04-30,0.6755928458194098
2020-05-31,0.6755928458194098
2020-06-30,0.6755928458194098
