,Linear Regression,Ridge Regression,Lasso Regression,KNN,RandomForest Regressor,Bagging Regressor,AdaBoost Regressor
MSLE,0.016534353334720534,0.014525121704013091,0.016415238326762564,0.003501655993328747,0.002215939564795092,0.01796657559800604,0.00031580293101441894
Root MSLE,0.12858597643102662,0.12052021284420755,0.1281219666051164,0.059174791873979136,0.04707376726792845,0.13403945537790743,0.017770844971875113
R2 Score,0.3387354617461802,0.42917240767572384,0.3443847747930957,0.869141820336519,0.913881887205428,0.2933334341543019,0.9822953200920156
Accuracy(%),33.8735,42.9172,34.4385,86.9142,91.3882,29.3333,98.2295
